Residential Building Causes -  ROUNDED National Fire Dollar Loss Estimates by Cause (2003-2018),,,,,,,,,,,,,,,,,,,,
,* Sum of causes may not equal totals due to rounding.,,,,,,,,,,,,,,,,,,,
,Note: ,"Beginning in 2012, changes in cooking, electrical malfunction, appliances, and equipment malfunction estimates may be the result of a National Fire Incident Reporting System (NFIRS) edit change (""NFIRS Version 5.0 Design Documentation,"" January 2012, Relational Edit #181, Fire Module, Equipment Involved in Ignition, Page 108, https://www.nfirs.fema.gov/documentation/design/2012/NFIRS_5.0_Design_Documentation_1-2012.pdf). Starting with the 2015 NFIRS data collection, this edit change was reverted back to the way the data were collected prior to 2012.  ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ADJUSTED TO 2018 DOLLARS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,OVERALL Residential Building Fire Dollar Loss - Causes,,,,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Residential*,,,
,2003,"705,400,000","167,000,000","337,100,000","461,200,000","351,500,000","1,200,100,000","304,100,000","910,000,000","691,300,000","133,400,000","435,900,000","272,100,000","503,200,000","1,057,000,000","233,600,000","7,762,800,000",,"100,000",
,2004,"664,100,000","143,300,000","348,300,000","383,700,000","297,100,000","1,201,700,000","246,200,000","942,400,000","590,800,000","143,800,000","522,900,000","279,200,000","435,200,000","1,032,900,000","272,100,000","7,503,500,000",,0,
,2005,"727,100,000","162,800,000","392,600,000","379,800,000","343,500,000","1,450,000,000","263,100,000","1,051,900,000","664,400,000","167,500,000","454,100,000","303,300,000","513,300,000","1,061,900,000","418,000,000","8,353,200,000",,"100,000",
,2006,"667,100,000","141,200,000","402,100,000","390,500,000","300,600,000","1,270,700,000","290,700,000","894,000,000","1,026,400,000","125,700,000","520,500,000","289,000,000","467,800,000","1,115,900,000","375,300,000","8,277,500,000",,"-100,000",
,2007,"584,500,000","113,000,000","320,500,000","314,000,000","277,200,000","1,229,300,000","240,400,000","798,800,000","503,800,000","146,600,000","438,100,000","1,914,500,000","408,300,000","1,047,700,000","331,200,000","8,667,900,000",,"200,000",
,2008,"799,400,000","134,900,000","385,400,000","397,400,000","341,200,000","1,416,700,000","286,900,000","1,202,600,000","552,000,000","189,200,000","571,700,000","867,400,000","517,700,000","1,323,100,000","369,900,000","9,355,500,000",,0,
,2009,"687,600,000","96,100,000","410,500,000","352,700,000","360,400,000","1,338,100,000","238,800,000","933,200,000","599,100,000","175,900,000","482,500,000","411,300,000","511,000,000","1,459,700,000","440,300,000","8,497,300,000",,0,
,2010,"563,100,000","93,600,000","329,500,000","374,900,000","364,900,000","1,167,300,000","285,700,000","695,600,000","582,400,000","170,100,000","495,100,000","292,500,000","538,300,000","1,306,800,000","394,600,000","7,654,400,000",,,
,2011,"537,600,000","97,000,000","331,000,000","316,300,000","359,500,000","1,140,200,000","253,100,000","674,800,000","546,600,000","153,100,000","542,800,000","395,100,000","468,800,000","1,203,700,000","405,700,000","7,425,100,000",,,
,2012,"582,700,000","93,000,000","380,700,000","460,600,000","607,700,000","890,700,000","457,600,000","690,700,000","636,800,000","180,900,000","686,000,000","326,000,000","152,200,000","1,224,100,000","398,800,000","7,768,500,000",,,
